类别,源名称,源类型,rss_url,官网链接,内容频率,简介,质量评级,适合人群,是否需要LLM分析,是否适合每日摘要,接入优先级,是否需要摘要转换,推荐的LLM分析profile,是否需要网页正文提取
论文/博客,Hugging Face 博客,官方博客,https://huggingface.co/blog/feed.xml,https://huggingface.co/blog,周更,模型发布/开源工具/技术博客,⭐⭐⭐⭐⭐,AI研究者/开发者,是,是,P1-必须接入,否（博客RSS通常含摘要）,paper-analyzer,否
论文/博客,Hugging Face Papers,论文聚合,,https://huggingface.co/papers,日更,热门新论文聚合（需RSSHub）,⭐⭐⭐⭐⭐,AI研究者/开发者,是,是,P1-必须接入,否,paper-analyzer,否
论文/博客,Papers With Code,论文聚合,,https://paperswithcode.com,日更,热门论文排行（已并入HF）,⭐⭐⭐⭐⭐,AI研究者/开发者,是,是,P2-次优先,否,paper-analyzer,否
论文/博客,The Gradient,学术博客,https://thegradient.pub/rss/,https://thegradient.pub,月更,深度学习深度分析文章,⭐⭐⭐⭐⭐,AI研究者,是,是,P2-次优先,否（Ghost博客RSS含摘要）,paper-analyzer,否
论文/博客,Distill.pub,交互式博客,https://distill.pub/rss.xml,https://distill.pub,已停更,交互式ML可视化文章（已归档）,⭐⭐⭐⭐⭐,AI研究者/教育者,是,否（已停更）,P3-可选,否,paper-analyzer,否
论文/博客,Lil'Log,Lilian Weng博客,https://lilianweng.github.io/index.xml,https://lilianweng.github.io,月更,OpenAI研究员长文博客,⭐⭐⭐⭐⭐,AI研究者/开发者,是,是,P2-次优先,否（Hugo博客RSS含摘要）,paper-analyzer,否
论文/博客,Jay Alammar博客,个人博客,https://jalammar.github.io/feed.xml,https://jalammar.github.io,季更,ML可视化解释博客,⭐⭐⭐⭐⭐,AI学习者/研究者,是,是,P3-可选,否（Jekyll博客RSS含摘要）,paper-analyzer,否
公司/机构,Google AI Blog,官方博客,https://blog.google/technology/ai/rss/,https://blog.google/technology/ai/,周更,Google AI研究成果与产品,⭐⭐⭐⭐⭐,AI研究者/开发者,是,是,P1-必须接入,否（博客RSS通常含摘要）,paper-analyzer,否
公司/机构,OpenAI Blog,官方博客,https://openai.com/blog/rss.xml,https://openai.com/blog,周更,ChatGPT/GPT技术博客,⭐⭐⭐⭐⭐,AI研究者/开发者,是,是,P1-必须接入,否,paper-analyzer,否
公司/机构,Anthropic Research,官方研究,,https://anthropic.com/research,不定期,Claude背后的研究（需RSSHub）,⭐⭐⭐⭐⭐,AI研究者/开发者,是,是,P1-必须接入,否,paper-analyzer,否
